Model,sMAPE_base,sMAPE_melh,sMAPE_delta,MRE_base,MRE_melh,MRE_delta,MASE_base,MASE_melh,MASE_delta,NSE_base,NSE_melh,NSE_delta,COD_base,COD_melh,COD_delta
SVM,45.8222,39.6423,-6.1799,0.6705,0.5446,-0.1258,0.5642,0.4481,-0.1161,0.265,0.5382,0.2732,0.2939,0.5671,0.2731
RF,45.8922,51.5218,5.6296,0.5597,0.7825,0.2228,0.5798,0.6783,0.0986,0.0751,0.145,0.0699,0.2065,0.2992,0.0927
MLP,44.627,33.6336,-10.9933,0.5542,0.3637,-0.1905,0.5651,0.5147,-0.0504,-0.0024,0.443,0.4454,0.2596,0.5497,0.2901
kNN,39.4653,35.7178,-3.7476,0.4909,0.5062,0.0153,0.512,0.4402,-0.0718,0.1667,0.581,0.4144,0.2193,0.5811,0.3618
DT,48.3433,50.6007,2.2574,0.6025,0.8464,0.2438,0.6334,0.6746,0.0412,-0.2732,0.1172,0.3904,0.0985,0.206,0.1076
ET,48.02,39.7469,-8.2732,0.6319,0.3952,-0.2367,0.6277,0.4888,-0.1389,-0.1097,0.5645,0.6742,0.1436,0.6131,0.4695
LR,45.615,37.6535,-7.9614,0.5783,0.4334,-0.1449,0.5864,0.5365,-0.0499,-0.1685,0.3206,0.4891,0.1587,0.4059,0.2472
ADA,44.9503,46.4165,1.4661,0.5809,0.6051,0.0242,0.6157,0.5712,-0.0445,-0.1527,0.3406,0.4934,0.1279,0.4017,0.2738
CAT,44.17,46.5956,2.4256,0.5413,0.5144,-0.0268,0.6096,0.5918,-0.0178,-0.1646,0.348,0.5126,0.1935,0.4275,0.234
XGB,44.166,44.8973,0.7313,0.5178,0.4827,-0.0351,0.5724,0.5442,-0.0282,0.0603,0.4341,0.3738,0.1947,0.4839,0.2893
NB,49.7488,62.3132,12.5644,0.6925,0.9043,0.2118,0.686,0.9288,0.2428,-0.5516,-0.8038,-0.2522,0.0261,0.1599,0.1338
BG,45.6757,50.3258,4.6501,0.5487,0.7594,0.2107,0.5642,0.631,0.0667,0.1237,0.2886,0.1649,0.2438,0.3499,0.1061
Static,39.0972,39.114,0.0168,0.509,0.4845,-0.0245,0.5434,0.4861,-0.0573,0.1276,0.5313,0.4037,0.2397,0.5445,0.3048
DES,39.4102,30.18,-9.2303,0.5041,0.3309,-0.1732,0.5428,0.4076,-0.1351,0.1084,0.6319,0.5236,0.2373,0.6489,0.4116
Proposed,37.9041,34.9254,-2.9786,0.4908,0.4063,-0.0845,0.5389,0.4445,-0.0945,0.1208,0.6071,0.4863,0.2393,0.6233,0.384
