Model,sMAPE_obt,sMAPE_art,sMAPE_delta,MRE_obt,MRE_art,MRE_delta,MASE_obt,MASE_art,MASE_delta,NSE_obt,NSE_art,NSE_delta,COD_obt,COD_art,COD_delta
SVM,88.91707,48.186,40.73107,3.4004,1.87874,1.52166,0.61695,0.81134,-0.19439,0.41507,0.56357,-0.1485,0.55384,0.80788,-0.25404
RF,58.45701,29.145,29.31201,1.09889,1.04612,0.05277,0.38796,0.66909,-0.28113,0.59641,0.36538,0.23103,0.66149,0.74756,-0.08607
MLP,80.14061,38.703,41.43761,1.5723,1.89333,-0.32103,0.44893,0.69446,-0.24553,0.5567,0.64448,-0.08778,0.62037,0.8107,-0.19033
kNN,61.74359,35.681,26.06259,0.96208,1.36927,-0.40719,0.44221,0.72336,-0.28115,0.47386,0.56898,-0.09512,0.6611,0.75544,-0.09434
DT,64.17882,37.585,26.59382,1.28455,2.25293,-0.96838,0.4094,0.92997,-0.52057,0.5665,0.28421,0.28229,0.65994,0.62113,0.03881
ET,55.00881,27.747,27.26181,0.95261,0.98134,-0.02873,0.38252,0.54617,-0.16365,0.5269,0.68537,-0.15847,0.64495,0.84353,-0.19858
LR,75.34966,42.961,32.38866,1.06398,1.45984,-0.39586,0.4085,0.67045,-0.26195,0.56139,0.6332,-0.07181,0.63567,0.84546,-0.20979
ADA,63.17702,37.621,25.55602,1.30114,2.46283,-1.16169,0.39064,0.80211,-0.41147,0.55147,0.23775,0.31372,0.64777,0.72402,-0.07625
CAT,67.02234,33.534,33.48834,1.00495,1.44861,-0.44366,0.38814,0.69836,-0.31022,0.56879,0.50544,0.06335,0.63232,0.79121,-0.15889
XGB,54.7436,30.131,24.6126,0.85183,1.34004,-0.48821,0.35925,0.69576,-0.33651,0.6118,0.2715,0.3403,0.74091,0.77509,-0.03418
NB,66.17467,38.732,27.44267,1.07397,1.19796,-0.12399,0.48702,0.62284,-0.13582,0.44761,0.67665,-0.22904,0.46122,0.83747,-0.37625
BG,56.58884,43.474,13.11484,1.07204,1.54597,-0.47393,0.37624,0.70022,-0.32398,0.62393,0.62224,0.00169,0.68785,0.8411,-0.15325
Static,66.48696,27.825,38.66196,1.4043,1.05944,0.34486,0.42947,0.54115,-0.11168,0.55123,0.71622,-0.16499,0.6623,0.87652,-0.21422
DES,68.20341,33.884,34.31941,1.32311,0.92209,0.40102,0.42625,0.5723,-0.14605,0.54734,0.66953,-0.12219,0.6614,0.84379,-0.18239
Proposed,64.89367,23.896,40.99767,1.313,0.79142,0.52158,0.42464,0.45167,-0.02703,0.55159,0.78121,-0.22962,0.66783,0.91375,-0.24592
