Model,sMAPE_v2,sMAPE_v1,sMAPE_delta,sMAPE_art,MRE_v2,MRE_v1,MRE_delta,MRE_art,MASE_v2,MASE_v1,MASE_delta,MASE_art,NSE_v2,NSE_v1,NSE_delta,NSE_art,COD_v2,COD_v1,COD_delta,COD_art
SVM,53.4775,81.2162,-27.7387,37.302,0.5534,1.9076,-1.3542,1.60133,0.4806,0.5904,-0.1098,0.64518,0.4096,0.1883,0.2213,0.64141,0.7852,0.4786,0.3066,0.85525
RF,45.7073,52.7326,-7.0253,18.274,0.5448,0.5994,-0.0546,0.69642,0.466,0.3842,0.0818,0.32081,0.3792,0.5746,-0.1954,0.88611,0.628,0.8643,-0.2363,0.95035
MLP,51.9138,69.5134,-17.5996,45.079,0.6531,1.4603,-0.8072,2.61562,0.3987,0.4424,-0.0437,0.98424,0.7739,0.4224,0.3515,0.12867,0.9538,0.5997,0.3541,0.2717
kNN,63.3389,57.8024,5.5365,35.082,0.6592,1.0074,-0.3482,1.4606,0.559,0.4997,0.0593,0.78834,0.3181,0.0789,0.2392,0.43263,0.797,0.3135,0.4835,0.73278
DT,53.5669,61.6769,-8.11,30.156,0.6778,0.7094,-0.0316,1.49436,0.4488,0.4187,0.0301,0.6474,0.5834,0.5261,0.0573,0.61278,0.6793,0.7128,-0.0335,0.79335
ET,44.8845,56.2084,-11.3239,18.59,0.4846,0.919,-0.4344,1.1559,0.4306,0.4161,0.0145,0.37111,0.4877,0.447,0.0407,0.805,0.8169,0.8511,-0.0342,0.89854
LR,60.5655,70.1798,-9.6143,65.296,0.8563,1.6165,-0.7602,14.70762,0.6973,0.4524,0.2449,1.61663,-0.201,0.5071,-0.7081,0.28759,0.9525,0.6428,0.3097,0.63149
ADA,46.2405,57.5964,-11.3559,24.89,0.4919,0.7176,-0.2257,0.96699,0.4853,0.44,0.0453,0.57493,0.344,0.3251,0.0189,0.43299,0.601,0.7129,-0.1119,0.95678
CAT,51.8712,61.8405,-9.9693,36.453,0.5858,0.8131,-0.2273,1.54738,0.3016,0.3364,-0.0348,0.673,0.914,0.7613,0.1527,0.5657,0.9215,0.8216,0.0999,0.87383
XGB,38.4875,59.7677,-21.2802,18.637,0.4179,0.7296,-0.3117,0.92803,0.4009,0.4529,-0.052,0.29177,0.5748,0.2763,0.2985,0.93225,0.6951,0.6203,0.0748,0.96763
NB,57.3741,75.612,-18.2379,39.123,0.6812,2.3936,-1.7124,1.0559,0.5569,0.5633,-0.0064,0.57534,0.4347,0.1526,0.2821,0.66247,0.4794,0.3125,0.1669,0.81607
BG,41.0126,57.4988,-16.4862,20.589,0.4888,0.6206,-0.1318,1.10704,0.4197,0.3926,0.0271,0.35486,0.4675,0.5669,-0.0994,0.88439,0.7741,0.8472,-0.0731,0.94103
Static,43.8123,60.2988,-16.4865,23.527,0.555,1.0315,-0.4765,0.7629,0.3133,0.4317,-0.1184,0.42057,0.8586,0.4559,0.4027,0.8042,0.8943,0.8589,0.0354,0.93988
DES,42.2781,55.2651,-12.987,16.558,0.5353,0.6099,-0.0746,0.50287,0.2636,0.4414,-0.1778,0.32678,0.9301,0.3029,0.6272,0.90453,0.9364,0.6592,0.2772,0.9522
Proposed,42.4013,59.1452,-16.7439,15.057,0.5383,0.8148,-0.2765,0.47942,0.2777,0.4359,-0.1582,0.26125,0.9011,0.3852,0.5159,0.95146,0.9198,0.8019,0.1179,0.98359
